MMM,[566,997,916,269,906,462,891,828]
ABT,[5,22,243,858,856,185,747,386]
ABBV,[620,287,515,961,430,839,467,793]
ACN,[569,448,78,137,87,482,345,94]
ATVI,[285,711,306,712,273,239,86,250]
AYI,[27,63,846,30,172,731,548,323]
ADBE,[371,466,902,642,551,875,708,797]
AMD,[622,227,839,496,365,452,769,267]
AAP,[831,37,611,617,819,990,915,53]
AES,[246,725,820,599,478,276,95,503]
AET,[423,953,934,900,218,920,152,608]
AMG,[930,220,964,683,208,484,438,202]
AFL,[297,365,177,280,369,691,462,790]
A,[345,854,87,711,604,393,231,618]
APD,[176,284,524,569,499,439,597,384]
AKAM,[925,678,773,58,420,966,667,788]
ALK,[252,526,591,808,332,59,784,190]
ALB,[725,925,234,236,760,601,142,801]
ARE,[272,620,667,310,910,511,499,509]
ALXN,[438,756,108,165,637,483,38,172]
ALLE,[311,577,833,911,154,246,210,813]
AGN,[426,787,766,190,98,364,358,543]
ADS,[888,173,971,353,116,88,776,943]
LNT,[983,632,387,422,701,895,782,202]
ALL,[980,210,906,116,876,251,90,430]
GOOGL,[436,289,68,269,636,284,263,311]
GOOG,[263,708,517,184,567,220,976,415]
MO,[886,842,300,238,943,721,990,742]
AMZN,[636,835,514,578,774,778,429,662]
AEE,[483,64,584,857,129,159,731,496]
AAL,[922,281,287,645,612,513,172,208]
AEP,[546,178,3,854,447,500,513,540]
AXP,[722,951,502,686,178,156,921,944]
AIG,[533,938,226,349,723,174,385,286]
AMT,[187,586,880,531,570,129,337,105]
AWK,[289,45,428,794,114,996,686,120]
AMP,[902,339,192,662,684,395,901,877]
ABC,[493,858,848,334,999,163,898,380]
AME,[143,385,32,847,719,559,932,985]
AMGN,[236,24,48,132,177,879,612,444]
APH,[993,779,674,51,335,950,715,699]
APC,[23,422,879,740,451,547,595,753]
ADI,[427,515,512,217,706,159,283,712]
ANTM,[824,28,820,473,726,201,126,544]
AON,[135,169,162,910,265,352,810,84]
APA,[695,225,741,249,276,136,665,66]
AIV,[136,598,413,814,29,433,831,108]
AAPL,[202,51,628,184,388,244,108,86]
AMAT,[798,608,469,9,970,538,717,783]
ADM,[599,60,893,341,894,919,533,656]
ARNC,[55,244,259,709,324,818,892,77]
AJG,[18,924,260,516,963,799,977,614]
AIZ,[382,610,728,619,496,960,694,628]
T,[406,292,280,208,499,869,128,853]
ADSK,[763,768,759,837,203,758,971,325]
ADP,[517,543,486,705,171,741,780,359]
AN,[543,490,161,284,159,680,875,419]
AZO,[264,35,809,493,814,283,658,659]
AVB,[38,743,654,639,571,490,753,892]
AVY,[335,141,341,125,852,310,381,919]
BHI,[132,902,909,296,162,450,163,33]
BLL,[945,40,511,621,767,931,118,830]
BAC,[912,493,649,78,828,733,76,989]
BK,[921,123,764,566,20,845,276,906]
BCR,[161,707,339,19,773,63,557,384]
BAX,[663,959,975,251,590,208,953,79]
BBT,[939,766,872,42,685,569,929,258]
BDX,[187,474,115,242,783,281,593,695]
BBBY,[658,484,89,585,724,385,763,42]
BRK.B,[986,457,664,410,303,282,480,846]
BBY,[898,282,649,255,888,278,108,538]
BIIB,[245,844,212,244,877,466,169,170]
BLK,[459,989,695,819,850,240,53,953]
HRB,[581,448,96,861,336,96,170,399]
BA,[652,568,372,247,484,240,698,425]
BWA,[360,626,339,921,290,105,68,548]
BXP,[40,761,483,548,80,673,777,105]
BSX,[641,353,595,772,948,884,174,366]
BMY,[664,787,790,189,566,289,397,205]
AVGO,[794,192,104,305,200,816,309,711]
BF.B,[283,611,694,814,584,681,775,914]
CHRW,[123,40,878,548,454,62,554,729]
CA,[136,134,648,496,303,402,437,504]
COG,[470,802,643,677,587,24,252,563]
CPB,[518,166,436,752,505,694,690,450]
COF,[561,379,459,803,445,83,859,352]
CAH,[691,492,20,262,972,712,718,201]
CBOE,[624,626,769,795,568,827,642,112]
KMX,[48,548,205,99,818,175,704,94]
CCL,[357,990,12,51,713,368,441,586]
CAT,[609,873,922,649,990,408,681,195]
CBG,[385,458,369,178,666,964,36,623]
CBS,[458,659,402,2,909,225,783,403]
CELG,[506,838,587,152,997,45,182,234]
CNC,[770,964,145,634,546,327,829,527]
CNP,[811,655,181,279,611,909,967,171]
CTL,[192,993,291,440,313,949,702,757]
CERN,[11,238,975,551,575,548,676,630]
CF,[161,179,688,289,713,227,619,207]
SCHW,[38,851,268,48,946,335,343,387]
CHTR,[873,608,625,974,766,57,745,147]
CHK,[871,650,949,551,619,904,812,371]
CVX,[73,451,811,101,709,173,615,584]
CMG,[429,845,968,675,385,95,898,309]
CB,[456,762,287,180,602,429,987,131]
CHD,[785,728,905,879,377,781,858,179]
CI,[575,435,840,982,541,993,263,511]
XEC,[387,115,931,353,672,839,882,516]
CINF,[472,943,815,9,93,265,337,209]
CTAS,[770,156,712,887,53,490,695,938]
CSCO,[959,361,10,831,658,565,529,843]
C,[165,392,92,199,160,604,931,323]
CFG,[949,585,214,590,477,276,336,775]
CTXS,[546,40,328,925,256,467,604,477]
CLX,[930,666,695,27,954,107,170,673]
